,SOAP Vec. Elem. 0,SOAP Vec. Elem. 1,SOAP Vec. Elem. 2,SOAP Vec. Elem. 3,SOAP Vec. Elem. 4,SOAP Vec. Elem. 5,SOAP Vec. Elem. 6,SOAP Vec. Elem. 7,SOAP Vec. Elem. 8,SOAP Vec. Elem. 9,SOAP Vec. Elem. 10,SOAP Vec. Elem. 11,SOAP Vec. Elem. 12,SOAP Vec. Elem. 13,SOAP Vec. Elem. 14,SOAP Vec. Elem. 15,SOAP Vec. Elem. 16,SOAP Vec. Elem. 17,SOAP Vec. Elem. 18,SOAP Vec. Elem. 19,SOAP Vec. Elem. 20,SOAP Vec. Elem. 21,SOAP Vec. Elem. 22,SOAP Vec. Elem. 23,SOAP Vec. Elem. 24,SOAP Vec. Elem. 25,SOAP Vec. Elem. 26,SOAP Vec. Elem. 27,SOAP Vec. Elem. 28,SOAP Vec. Elem. 29,SOAP Vec. Elem. 30,SOAP Vec. Elem. 31,SOAP Vec. Elem. 32,SOAP Vec. Elem. 33,SOAP Vec. Elem. 34,SOAP Vec. Elem. 35,SOAP Vec. Elem. 36,SOAP Vec. Elem. 37,SOAP Vec. Elem. 38,SOAP Vec. Elem. 39,SOAP Vec. Elem. 40,SOAP Vec. Elem. 41,SOAP Vec. Elem. 42,SOAP Vec. Elem. 43,SOAP Vec. Elem. 44,SOAP Vec. Elem. 45,SOAP Vec. Elem. 46,SOAP Vec. Elem. 47,SOAP Vec. Elem. 48,SOAP Vec. Elem. 49,SOAP Vec. Elem. 50,SOAP Vec. Elem. 51,SOAP Vec. Elem. 52,SOAP Vec. Elem. 53,SOAP Vec. Elem. 54,SOAP Vec. Elem. 55,SOAP Vec. Elem. 56,SOAP Vec. Elem. 57,SOAP Vec. Elem. 58,SOAP Vec. Elem. 59,SOAP Vec. Elem. 60,SOAP Vec. Elem. 61,SOAP Vec. Elem. 62,SOAP Vec. Elem. 63,SOAP Vec. Elem. 64,SOAP Vec. Elem. 65,SOAP Vec. Elem. 66,SOAP Vec. Elem. 67,SOAP Vec. Elem. 68,SOAP Vec. Elem. 69,SOAP Vec. Elem. 70,SOAP Vec. Elem. 71,SOAP Vec. Elem. 72,SOAP Vec. Elem. 73,SOAP Vec. Elem. 74,SOAP Vec. Elem. 75,SOAP Vec. Elem. 76,SOAP Vec. Elem. 77,SOAP Vec. Elem. 78,SOAP Vec. Elem. 79,SOAP Vec. Elem. 80,SOAP Vec. Elem. 81,SOAP Vec. Elem. 82,SOAP Vec. Elem. 83,SOAP Vec. Elem. 84,SOAP Vec. Elem. 85,SOAP Vec. Elem. 86,SOAP Vec. Elem. 87,SOAP Vec. Elem. 88,SOAP Vec. Elem. 89,SOAP Vec. Elem. 90,SOAP Vec. Elem. 91,SOAP Vec. Elem. 92,SOAP Vec. Elem. 93,SOAP Vec. Elem. 94,SOAP Vec. Elem. 95,SOAP Vec. Elem. 96,SOAP Vec. Elem. 97,SOAP Vec. Elem. 98,SOAP Vec. Elem. 99,SOAP Vec. Elem. 100,SOAP Vec. Elem. 101,SOAP Vec. Elem. 102,SOAP Vec. Elem. 103,SOAP Vec. Elem. 104,SOAP Vec. Elem. 105,SOAP Vec. Elem. 106,SOAP Vec. Elem. 107,SOAP Vec. Elem. 108,SOAP Vec. Elem. 109,SOAP Vec. Elem. 110,SOAP Vec. Elem. 111,SOAP Vec. Elem. 112,SOAP Vec. Elem. 113,SOAP Vec. Elem. 114,SOAP Vec. Elem. 115,SOAP Vec. Elem. 116,SOAP Vec. Elem. 117,SOAP Vec. Elem. 118,SOAP Vec. Elem. 119,SOAP Vec. Elem. 120,SOAP Vec. Elem. 121,SOAP Vec. Elem. 122,SOAP Vec. Elem. 123,SOAP Vec. Elem. 124,SOAP Vec. Elem. 125,SOAP Vec. Elem. 126,SOAP Vec. Elem. 127,SOAP Vec. Elem. 128,SOAP Vec. Elem. 129,SOAP Vec. Elem. 130,SOAP Vec. Elem. 131,SOAP Vec. Elem. 132,SOAP Vec. Elem. 133,SOAP Vec. Elem. 134,SOAP Vec. Elem. 135,SOAP Vec. Elem. 136,SOAP Vec. Elem. 137,SOAP Vec. Elem. 138,SOAP Vec. Elem. 139,SOAP Vec. Elem. 140,SOAP Vec. Elem. 141,SOAP Vec. Elem. 142,SOAP Vec. Elem. 143,SOAP Vec. Elem. 144,SOAP Vec. Elem. 145,SOAP Vec. Elem. 146,SOAP Vec. Elem. 147,SOAP Vec. Elem. 148,SOAP Vec. Elem. 149,SOAP Vec. Elem. 150,SOAP Vec. Elem. 151,SOAP Vec. Elem. 152,SOAP Vec. Elem. 153,SOAP Vec. Elem. 154,SOAP Vec. Elem. 155,SOAP Vec. Elem. 156,SOAP Vec. Elem. 157,SOAP Vec. Elem. 158,SOAP Vec. Elem. 159,SOAP Vec. Elem. 160,SOAP Vec. Elem. 161,SOAP Vec. Elem. 162,SOAP Vec. Elem. 163,SOAP Vec. Elem. 164,SOAP Vec. Elem. 165,SOAP Vec. Elem. 166,SOAP Vec. Elem. 167,SOAP Vec. Elem. 168,SOAP Vec. Elem. 169,SOAP Vec. Elem. 170,SOAP Vec. Elem. 171,SOAP Vec. Elem. 172,SOAP Vec. Elem. 173,SOAP Vec. Elem. 174,SOAP Vec. Elem. 175,SOAP Vec. Elem. 176,SOAP Vec. Elem. 177,SOAP Vec. Elem. 178,SOAP Vec. Elem. 179,SOAP Vec. Elem. 180,SOAP Vec. Elem. 181,SOAP Vec. Elem. 182,SOAP Vec. Elem. 183,SOAP Vec. Elem. 184,SOAP Vec. Elem. 185,SOAP Vec. Elem. 186,SOAP Vec. Elem. 187,SOAP Vec. Elem. 188,International Number 62,International Number 63,International Number 64,International Number 71,International Number 136,International Number 139,International Number 166,International Number 176,International Number 191,International Number 194,International Number 217,International Number 221,International Number 225,International Number 227,International Number 229,Density (g/cm3),Energy Per Atom (eV),Total Magnetization (microB/f.u.),Surface Energy (J/m2)
Cr,0.033018902,0.533336644,0.825716601,0.833727784,0.725331656,0.562779706,8.614701242,13.33735813,13.46675848,11.71589387,9.090279261,20.6490181,20.84935689,18.13865252,14.07365231,21.05163939,18.31463549,14.21019625,15.93347991,12.36267446,9.592111754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05E-05,6.37E-05,-0.000958536,-0.009178799,-0.013214519,-0.010438335,6.71E-05,-0.001009094,-0.009662935,-0.01391152,-0.010988906,0.015175989,0.1453231,0.20921854,0.165264671,1.391593182,2.003446762,1.582550811,2.884319196,2.278364352,1.799712087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.90E-06,-2.49E-05,-6.21E-05,-0.001033242,-0.001980839,-0.001633059,8.95E-05,0.000223606,0.003720747,0.007133081,0.005880712,0.000558639,0.009295637,0.017820762,0.014691936,0.154677355,0.296533545,0.24447057,0.5684875,0.468677037,0.386390492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80E-07,-9.44E-07,1.09E-07,-2.92E-05,-8.91E-05,-8.61E-05,4.96E-06,-5.75E-07,0.000153454,0.000468012,0.000452418,6.66E-08,-1.78E-05,-5.42E-05,-5.24E-05,0.004749309,0.014484676,0.014002066,0.044176081,0.042704193,0.041281347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11E-11,-1.79E-10,-6.36E-10,-3.34E-08,-2.22E-07,-2.78E-07,1.03E-09,3.66E-09,1.92E-07,1.28E-06,1.60E-06,1.30E-08,6.81E-07,4.54E-06,5.68E-06,3.58E-05,0.0002383,0.000298344,0.001586941,0.001986798,0.002487405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.598776785,-15.07334239,6.00E-07,3.350221613
Cs,0.031016372,0.561155398,0.81839774,0.565733382,0.391654143,0.273745385,10.15255376,14.80664195,10.23537972,7.085897706,4.952665073,21.59423639,14.92743661,10.33418317,7.223043598,10.31888138,7.143705452,4.993069609,4.945548427,3.456674931,2.416031661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.79274976,-25.09920455,1.00E-07,
Cu,0.031016372,0.561155398,0.81839774,0.565733382,0.391654143,0.273745385,10.15255376,14.80664195,10.23537972,7.085897706,4.952665073,21.59423639,14.92743661,10.33418317,7.223043598,10.31888138,7.143705452,4.993069609,4.945548427,3.456674931,2.416031661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.218996047,-10.846796,2.00E-07,1.42194816
Dy,0.024374419,0.493967121,0.642630401,0.491601673,0.542240077,0.472954824,10.01063928,13.02341969,9.962701585,10.98892939,9.584808239,16.94292,12.96105477,14.29613388,12.46943146,9.914993445,10.93630697,9.538909708,12.06282293,10.52148399,9.177091131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77E-05,-6.81E-05,0.000736176,3.52E-05,-0.005815706,-0.00775416,0.000261703,-0.002829928,-0.000135278,0.022356095,0.029807688,0.030601452,0.001462831,-0.241747815,-0.322325674,6.99E-05,-0.011556189,-0.015408025,1.909778842,2.546334298,3.39506241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.63E-06,-2.24E-05,-2.13E-05,-6.16E-05,0.00201452,0.003272217,7.58E-05,7.20E-05,0.000208348,-0.006811738,-0.011064415,6.84E-05,0.000197993,-0.006473178,-0.010514487,0.000572714,-0.018724343,-0.030414248,0.612174491,0.994364763,1.615162501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97E-06,-1.55E-05,2.44E-05,-4.54E-05,0.00049642,0.001093504,8.08E-05,-0.000127358,0.000236981,-0.002590321,-0.00570591,0.00020068,-0.000373414,0.0040816,0.008990868,0.000694829,-0.007594824,-0.016729731,0.08301517,0.182864204,0.402809717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89E-07,-1.71E-06,3.38E-06,-5.93E-06,3.72E-05,0.000131428,1.01E-05,-2.00E-05,3.50E-05,-0.000219565,-0.000776174,3.96E-05,-6.94E-05,0.000435117,0.001538162,0.000121793,-0.000763489,-0.002698971,0.004786105,0.016919123,0.059809956,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.4312889,-31.98180323,6.00E-06,0.995541893
Eu,0.035596348,0.59668151,0.895838153,0.56100428,0.316533234,0.489731041,10.00183575,15.01642989,9.40379845,5.305868135,8.209085331,22.54517793,14.1185562,7.966057316,12.3248529,8.841519449,4.98861567,7.718241517,2.814706957,4.35483299,6.737671331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000591847,-0.000760096,0.000915946,-0.003926008,0.022762418,-0.033508322,0.000976176,-0.00117633,0.005042091,-0.029233305,0.043034049,0.001417524,-0.006075916,0.035227271,-0.051857705,0.026043134,-0.150994271,0.222277121,0.87544263,-1.288730136,1.897126443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00093884,-0.003519189,0.005263693,-0.010432585,0.026171337,-0.036001487,0.013191483,-0.019730659,0.039105963,-0.098101797,0.134949568,0.029511384,-0.058491259,0.146732035,-0.201845688,0.11592907,-0.290821377,0.40005607,0.7295588,-1.003586562,1.38054121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000459743,-0.002387563,0.004035908,-0.006848113,0.013193958,-0.017654904,0.012399218,-0.020959491,0.035563985,-0.068519563,0.091686379,0.035429676,-0.060116939,0.11582466,-0.154985572,0.102006194,-0.196530841,0.262978928,0.378647317,-0.506669919,0.677977621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000150809,-0.000883721,0.001692727,-0.002734699,0.004623458,-0.006057049,0.005178472,-0.009919127,0.016024929,-0.027092779,0.035493412,0.018999635,-0.030695019,0.05189498,-0.067986009,0.049589595,-0.083839368,0.109835364,0.141744242,-0.18569475,0.243272952,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.726844486,-38.52088272,16.0993557,0.489789389
Fe,0.033800843,0.538530814,0.859876942,0.870013214,0.740245373,0.570162158,8.580124326,13.69996084,13.86145666,11.79393485,9.084089661,21.87484936,22.13271117,18.8314807,14.50464678,22.39361268,19.05346713,14.67562828,16.21152491,12.48666774,9.61765609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20E-05,5.18E-05,-0.001112067,-0.007147001,-0.009450621,-0.00723459,8.38E-05,-0.001798944,-0.011561402,-0.01528787,-0.011703091,0.038625616,0.248237978,0.328249973,0.251280229,1.595368564,2.109587314,1.614920413,2.789548908,2.135441109,1.634711877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18E-06,-1.90E-05,-8.08E-05,-0.000923829,-0.001615475,-0.001276914,6.96E-05,0.000296035,0.003386304,0.005921538,0.004680541,0.001259868,0.01441148,0.025200966,0.019919512,0.164851168,0.288270786,0.227856877,0.504091338,0.398447168,0.314943212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72E-07,-9.04E-07,-1.61E-07,-2.86E-05,-7.82E-05,-7.18E-05,4.76E-06,8.47E-07,0.000150681,0.000411862,0.000378567,1.50E-07,2.68E-05,7.32E-05,6.73E-05,0.004766592,0.01302869,0.011975439,0.035611773,0.032732885,0.030086729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32E-10,-1.96E-09,5.84E-10,-1.10E-07,-6.20E-07,-7.32E-07,1.16E-08,-3.45E-09,6.53E-07,3.66E-06,4.32E-06,1.03E-09,-1.95E-07,-1.09E-06,-1.29E-06,3.68E-05,0.000206478,0.000243748,0.001158606,0.001367735,0.001614612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.902858231,-8.47002121,5.289892,2.526923619
Ga,0.028788678,0.484228273,0.703630097,0.780520202,0.885129788,0.958779716,8.144765081,11.83512439,13.12842318,14.88796626,16.12676497,17.19757021,19.07685732,21.63364208,23.43373535,21.16150599,23.99768678,25.9944876,27.21398802,29.47841102,31.93125225,8.30E-32,-2.45E-31,4.74E-31,-5.37E-31,2.21E-31,-1.26E-31,1.44E-30,-2.15E-30,4.43E-30,-3.79E-31,4.90E-31,4.55E-30,-5.06E-30,4.05E-30,-1.20E-30,1.57E-29,2.53E-30,9.49E-31,9.61E-30,-1.33E-30,3.32E-31,0.000468919,-0.000570855,0.001749829,-0.015638438,-0.029703049,-0.055870968,0.000762325,-0.002521006,0.016754383,0.035893828,0.075939214,0.010803246,-0.032015395,-0.065081929,-0.161835683,0.684399708,1.288144676,2.199082191,2.856672824,5.548060565,11.8619589,8.10E-32,-1.03E-31,2.45E-31,-3.17E-31,8.12E-32,-1.35E-32,1.75E-31,-2.72E-31,4.91E-31,-7.24E-32,2.34E-32,1.15E-30,-9.42E-31,2.25E-31,-6.44E-32,1.77E-30,-2.30E-31,1.52E-31,1.26E-31,2.19E-33,3.67E-32,0.000298436,-0.001130348,0.00151177,-0.006410834,-0.005451923,-0.019515739,0.004282668,-0.005763986,0.023833393,0.02003262,0.075165768,0.009148814,-0.016562096,-0.000528573,-0.115488648,0.312547216,0.403485317,0.170066546,0.637112715,0.282157913,3.299782221,2.00E-33,-3.12E-33,3.94E-33,-6.03E-33,2.76E-33,7.80E-35,1.94E-32,-1.59E-32,3.29E-32,-2.78E-32,1.19E-32,6.24E-32,-5.39E-32,5.86E-32,-1.28E-32,9.17E-32,-7.62E-32,2.00E-32,9.86E-32,-2.27E-32,1.29E-32,0.000125134,-0.000648572,0.001072799,-0.00180862,0.001947946,-0.005405265,0.003361557,-0.005560196,0.009378453,-0.010085315,0.02797698,0.009205802,-0.015278605,0.017407496,-0.047067624,0.03299668,-0.008377655,0.039206831,0.093857141,-0.143140773,0.922263198,6.14E-35,-1.75E-34,3.25E-34,-6.66E-34,4.38E-34,7.31E-35,1.83E-33,-2.63E-33,4.71E-33,-1.97E-33,2.54E-34,7.04E-33,-9.51E-33,3.91E-33,2.88E-34,2.60E-32,-1.54E-32,-1.25E-33,1.16E-32,1.32E-33,7.19E-34,3.95E-05,-0.000230576,0.000434855,-0.000650924,0.001034901,-0.001208398,0.001347577,-0.002541476,0.003804248,-0.006049106,0.007075726,0.004793245,-0.007173593,0.011422207,-0.013458577,0.010774243,-0.01680683,0.020357126,0.029625225,-0.036549241,0.220162754,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.037763282,-11.44277595,1.00E-07,0.549032628
Gd,0.024244731,0.496113766,0.647665507,0.465611612,0.524783305,0.46961075,10.15184973,13.25301442,9.527691894,10.73850719,9.609525243,17.30151609,12.43819023,14.01888272,12.54502185,8.941908645,10.07828038,9.018710702,11.35906655,10.16484273,9.096172411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00E-07,8.99E-06,-0.000124587,-0.000130322,0.001045197,0.001576181,0.000115416,-0.001600256,-0.001673932,0.013425068,0.020245308,0.022187679,0.023209191,-0.186139597,-0.280702746,0.024277732,-0.19470939,-0.293626189,1.561585148,2.354905927,3.551251708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09E-05,-7.36E-05,2.09E-05,-0.000402855,0.003237917,0.006169689,0.000259283,-7.37E-05,0.001418899,-0.011404291,-0.021730303,2.09E-05,-0.000403146,0.003240258,0.006174149,0.007764783,-0.062408864,-0.118916956,0.501606565,0.955786119,1.82120245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93E-06,-2.57E-05,4.15E-05,-9.53E-05,0.000577382,0.001562263,0.000134109,-0.000216316,0.000496678,-0.003010257,-0.008145059,0.000348914,-0.000801135,0.004855505,0.013137874,0.001839472,-0.011148634,-0.030165629,0.067569413,0.182827224,0.494688237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47E-07,-2.04E-06,4.01E-06,-7.54E-06,3.50E-05,0.000167339,1.20E-05,-2.37E-05,4.44E-05,-0.000206039,-0.000986346,4.65E-05,-8.73E-05,0.000404825,0.00193797,0.000163952,-0.000760235,-0.003639382,0.003525155,0.016875555,0.080786346,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.70365897,-43.3970053,15.8962807,0.862546503
Ge,0.028222563,0.538064901,0.769723323,0.581630962,0.27505775,0.337561856,10.25824039,14.67482243,11.08883002,5.243992896,6.43563752,20.99291936,15.86301405,7.501741197,9.206436407,11.98667086,5.668588726,6.956718481,2.680719153,3.289885609,4.037479013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002255726,-0.004448194,0.008024573,-0.016458792,0.026134257,-0.019213917,0.008771646,-0.01582411,0.032456024,-0.051535622,0.037889012,0.028546806,-0.058550893,0.092970621,-0.068352041,0.120090743,-0.190687286,0.140193375,0.302784712,-0.222607452,0.163661095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00075423,-0.002889307,0.004434011,-0.007258428,0.010040077,-0.007555313,0.011068364,-0.016985818,0.027805605,-0.038461551,0.028942911,0.026066906,-0.04267125,0.05902416,-0.044416592,0.069852385,-0.096621925,0.072709491,0.13365036,-0.10057396,0.075683458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000183081,-0.000947587,0.001565158,-0.002327485,0.003018273,-0.002363402,0.00490451,-0.008100931,0.012046577,-0.01562195,0.012232475,0.013380558,-0.019897702,0.025803256,-0.020204757,0.029589091,-0.038371009,0.0300457,0.049759363,-0.038963138,0.030509355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17E-05,-0.000243119,0.000452185,-0.000656753,0.000826463,-0.000673594,0.001417826,-0.002637062,0.003830066,-0.004819784,0.003928279,0.004904761,-0.007123668,0.008964479,-0.007306338,0.010346406,-0.013019998,0.010611716,0.016384467,-0.013353866,0.010883829,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.280205104,-13.87197758,0,0.90538865
Hf,0.026748922,0.502451282,0.671302058,0.601908573,0.608580989,0.500757787,9.438036117,12.60972616,11.30624015,11.43157469,9.406225542,16.84727541,15.10574768,15.2732014,12.56722551,13.54424424,13.69438802,11.26813286,13.8461962,11.39304496,9.374522184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000165335,-0.000192936,0.002155136,-0.006157903,-0.021128454,-0.021617144,0.000225145,-0.002514918,0.007185911,0.024655666,0.025225939,0.02809221,-0.080268292,-0.275409489,-0.281779574,0.229351787,0.78693164,0.805132979,2.700050498,2.762501328,2.826396614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20E-06,-1.22E-05,4.17E-05,-0.000318202,-0.001577355,-0.001823759,4.68E-05,-0.000159482,0.001217979,0.006037628,0.006980783,0.000542939,-0.004146469,-0.020554408,-0.023765271,0.031666908,0.156975637,0.18149725,0.778141982,0.899697769,1.040242134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28E-07,-6.72E-07,1.04E-06,9.38E-06,0.000109241,0.000158298,3.52E-06,-5.45E-06,-4.92E-05,-0.000573284,-0.000830732,8.43E-06,7.61E-05,0.000886443,0.001284524,0.000687312,0.00800557,0.011600687,0.093246104,0.135120776,0.195800397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69E-08,-3.97E-07,8.12E-07,-5.33E-07,1.86E-05,3.78E-05,2.35E-06,-4.82E-06,3.16E-06,-0.000110224,-0.000224472,9.87E-06,-6.47E-06,0.000225753,0.000459747,4.25E-06,-0.000148035,-0.000301473,0.005161785,0.010512007,0.021407769,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.31273148,-45.15141539,0,1.867189332
Ho,0.024436088,0.493900513,0.642546293,0.496747097,0.545552672,0.47389403,9.982682752,12.98710091,10.04021771,11.02667258,9.578313106,16.89573777,13.06195176,14.34529305,12.46103096,10.09808427,11.09022455,9.633517489,12.17984296,10.58001393,9.190323307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49E-05,-8.39E-05,0.000889062,-9.31E-05,-0.007000295,-0.009155892,0.000282317,-0.002993145,0.000313343,0.023567411,0.030824512,0.031733575,-0.003322091,-0.24986369,-0.326804089,0.00034778,0.026157467,0.034212122,1.96737571,2.573188707,3.36554939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04E-06,-1.68E-05,-2.28E-05,-2.74E-05,0.001780203,0.002820904,5.62E-05,7.63E-05,9.16E-05,-0.005946387,-0.009422624,0.000103564,0.000124363,-0.008071155,-0.012789523,0.000149341,-0.00969217,-0.015358178,0.629019005,0.996741279,1.579432689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67E-06,-1.39E-05,2.18E-05,-3.80E-05,0.000476481,0.001017277,7.27E-05,-0.000113989,0.000198345,-0.002486682,-0.005309012,0.000178825,-0.000311162,0.003901092,0.008328747,0.000541435,-0.006788062,-0.014492365,0.085103035,0.181693129,0.387910879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75E-07,-1.62E-06,3.22E-06,-5.56E-06,3.69E-05,0.000124718,9.59E-06,-1.90E-05,3.28E-05,-0.000217744,-0.000736764,3.77E-05,-6.52E-05,0.000432114,0.001462113,0.000112461,-0.000745834,-0.002523628,0.004946346,0.016736606,0.056630485,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.731908669,-32.88134392,2.50E-06,1.014913731
I,0.031016372,0.561155398,0.81839774,0.565733382,0.391654143,0.273745385,10.15255376,14.80664195,10.23537972,7.085897706,4.952665073,21.59423639,14.92743661,10.33418317,7.223043598,10.31888138,7.143705452,4.993069609,4.945548427,3.456674931,2.416031661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.703155669,-1.47336635,1.70E-06,
In,0.031016372,0.561155398,0.81839774,0.565733382,0.391654143,0.273745385,10.15255376,14.80664195,10.23537972,7.085897706,4.952665073,21.59423639,14.92743661,10.33418317,7.223043598,10.31888138,7.143705452,4.993069609,4.945548427,3.456674931,2.416031661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.224009402,-22.57859038,0,0.309304818
